id,country,city,zone,address,latitude,longitude,initialOwner
388,italy,milano,vercelli,via mario pagano 48,45.428669,9.0460465,
390,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
392,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
393,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
401,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
403,italy,milano,lambrate,via caduti di marcinelle 12,45.4822666,9.254221,
404,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
405,italy,milano,de angeli,via marghera 34,45.4672365,9.1533669,
406,italy,milano,lambrate,via feltre 76,45.4914562,9.2467054,
415,italy,milano,porta romana,via seneca 2,45.4541536,9.2084856,
416,italy,milano,loreto,piazza aspromonte 51,45.4842418,9.2211721,
417,italy,milano,porta romana,via tito livio 35,45.4255726,9.0641018,
420,italy,milano,porta romana,via seneca 2,45.4541536,9.2084856,
424,italy,milano,fiera,via ippolito nievo 21,45.5806791,8.9506118,
430,italy,milano,porta romana,via tito livio 35,45.4255726,9.0641018,
432,italy,milano,s. siro,via andora 1,45.4838402,9.1337714,
434,italy,milano,centro storico,corso di porta vittoria 58,45.4624694,9.1978834,
440,italy,milano,porta romana,via antonio fogazzaro 9,45.3862006,8.9207442,
441,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
445,italy,milano,porta romana,via tito livio 35,45.4255726,9.0641018,
446,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
448,italy,milano,monumentale,via alserio 1,45.4914399,9.1840375,
457,italy,milano,centro storico,corso di porta vittoria 58,45.4624694,9.1978834,
460,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
462,italy,milano,lambrate,via caduti di marcinelle 12,45.4822666,9.254221,
465,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
474,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
479,italy,milano,porta romana,via seneca 2,45.4541536,9.2084856,
485,italy,milano,buenos aires,viale abruzzi 84,45.4571753,9.3163693,
503,italy,milano,repubblica,via napo torriani 22,45.5307298,9.3318607,
530,italy,milano,lorenteggio,via almerico da schio 2,45.4494718,9.1389881,
539,italy,milano,bocconi,viale col di lana 15,45.4522205,9.1814943,
541,italy,milano,bovisa,via giovita scalvini 5,45.4993288,9.1687947,
544,italy,milano,de angeli,via mosè bianchi 4,45.5236544,9.3246584,
545,italy,milano,de angeli,via marghera 36,45.4672365,9.1533669,
553,italy,milano,de angeli,via matteo civitali 19,45.4737849,9.1304485,
572,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
575,italy,milano,famagosta,via isimbardi 7,45.5377539,9.1893635,
579,italy,milano,porta romana,viale umbria 16,45.5285656,9.2725781,
628,italy,milano,centro storico,viale beatrice d'este 32,45.4520294,9.1911302,
640,italy,milano,de angeli,via marghera 34,45.4672365,9.1533669,
641,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
654,italy,milano,xxii marzo,corso di porta vittoria 58,45.4624694,9.1978834,
656,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
657,italy,milano,v giornate,viale monte nero 80,45.4577336,9.2058392,
658,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
659,italy,milano,centro storico,corso di porta vittoria 58,45.4624694,9.1978834,
660,italy,milano,de angeli,via marghera 36,45.4672365,9.1533669,
662,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
663,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
665,italy,milano,xxii marzo,via lodovico mancini 15,45.4623592,9.2097601,
666,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
667,italy,milano,de angeli,via marghera 36,45.4672365,9.1533669,
670,italy,milano,centro storico,corso di porta ticinese 78,45.4539137,9.1804294,
671,italy,milano,indipendenza,via castel morrone 1,45.46873,9.2147332,
676,italy,milano,bocconi,via dei grimani 18,45.45782,9.1559684,
677,italy,milano,bocconi,via san mansueto 3,45.4508576,9.1931634,
678,italy,milano,forze armate,via del cardellino 55,45.5479443,8.8484619,
690,italy,milano,garibaldi,via nino bonnet 5,45.4821996,9.1849204,
739,italy,milano,porta romana,viale lazio 27,45.3842752,9.1641454,
740,italy,milano,vercelli,via mario pagano 48,45.428669,9.0460465,
741,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
742,italy,milano,romolo,via leopoldo marchetti 1,45.4392105,9.1876317,
744,italy,milano,solari,via savona 94,45.5647517,8.9268041,
745,italy,milano,romolo,via giovanni segantini 73,45.5781272,9.4716658,
746,italy,milano,stazione centrale,via vittor pisani 13,45.5696778,8.8837545,
747,italy,milano,centro storico,via desenzano 14,45.4616885,9.141122,
751,italy,milano,xxii marzo,via mancini 15,45.4786162,9.1377788,
752,italy,milano,porta romana,via simone d’orsenigo 7,45.4549021,9.215876,
753,italy,milano,centro storico,piazza sant'ambrogio 2,45.4639676,9.1752607,
754,italy,milano,centro storico,via durini 23,45.4652276,9.1982532,
755,italy,milano,centro storico,viale coni zugna 12,45.4594344,9.1659157,
759,italy,vigevano,centro storico,via pompei 13,45.3131483,8.851113,
761,italy,milano,fiera,via marghera 36,45.4672365,9.1533669,
766,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
767,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
771,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
772,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
774,italy,milano,porta romana,via marchetti 1,45.5315437,9.0665583,
775,italy,milano,centro storico,piazza della repubblica 25,45.4785656,9.1984426,
776,italy,milano,porta romana,corso lodi 59,45.4404969,9.2229577,
777,italy,milano,porta romana,via carlo giuseppe merlo 3,45.4629102,9.1959323,
778,italy,milano,isola,via volturno 41,45.3917337,9.2579924,
779,italy,milano,isola,via zuretti 42,45.4972181,9.2115112,
